,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
5457,s8275,Movie,The Detained,Blair Hayes,United States,2/15/2019,2017,TV-14,85 min,"Horror Movies, Thrillers"
5458,s8276,Movie,The Devil and Father Amorth,William Friedkin,Italy,7/23/2018,2017,TV-PG,69 min,"Documentaries, Horror Movies"
5459,s8277,Movie,The Devil Inside,William Brent Bell,United States,11/20/2019,2012,R,84 min,"Horror Movies, Thrillers"
5460,s8279,Movie,The Devil We Know,"Stephanie Soechtig, Jeremy Seifert",United States,1/15/2019,2018,TV-14,88 min,Documentaries
5461,s8280,Movie,The Diabolical,Alistair Legrand,United States,08-01-2018,2015,TV-MA,86 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers"
5463,s8282,Movie,The Drowning,Bette Gordon,United States,09-01-2017,2016,TV-MA,99 min,Thrillers
5464,s8284,Movie,The Duel,Kieran Darcy-Smith,United States,06-02-2019,2016,R,110 min,Dramas
5467,s8287,Movie,The Eichmann Show,Paul Andrew Williams,United Kingdom,8/31/2017,2015,TV-MA,96 min,"Dramas, International Movies"
5468,s8289,Movie,The End of the Tour,James Ponsoldt,United States,7/26/2018,2015,R,106 min,"Dramas, Independent Movies"
5469,s8290,Movie,The Endless,"Justin Benson, Aaron Moorhead",United States,9/19/2018,2017,TV-MA,112 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers"
5471,s8292,Movie,The Exception,David Leveaux,United Kingdom,7/26/2019,2016,R,107 min,"Dramas, Romantic Movies"
5472,s8293,Movie,The Eyes of My Mother,Nicolas Pesce,United States,04-06-2017,2016,R,76 min,"Horror Movies, Independent Movies"
5473,s8294,TV Show,The Fear,Michael Samuels,United Kingdom,3/31/2017,2012,TV-MA,1 Season,"British TV Shows, Crime TV Shows, TV Dramas"
5474,s8295,Movie,The Fear of 13,David Sington,United Kingdom,06-01-2016,2015,TV-MA,95 min,"Documentaries, International Movies"
5475,s8296,Movie,The Feels,Jenée LaMarque,United States,07-01-2018,2018,TV-MA,88 min,"Comedies, Independent Movies, LGBTQ Movies"
5476,s8297,Movie,The Fighter,David O. Russell,United States,1/13/2019,2010,R,116 min,"Dramas, Sports Movies"
5479,s8300,Movie,The First Line,"Coerte Voorhees, John Voorhees",United States,9/20/2016,2014,TV-14,87 min,"Dramas, Independent Movies"
5480,s8301,Movie,The First Temptation of Christ,Rodrigo Van Der Put,Brazil,12-03-2019,2019,TV-MA,46 min,"Comedies, International Movies"
5482,s8303,TV Show,The Five,Mark Tonderai,United Kingdom,9/15/2017,2016,TV-MA,1 Season,"British TV Shows, Crime TV Shows, TV Dramas"
5488,s8309,Movie,The Force,Peter Nicks,United States,1/29/2018,2017,TV-MA,92 min,Documentaries
5489,s8310,Movie,The Foreigner,Martin Campbell,United Kingdom,2/14/2020,2017,R,113 min,"Action & Adventure, International Movies"
5490,s8311,Movie,The Forgotten,Oliver Frampton,United Kingdom,09-11-2017,2014,TV-MA,89 min,Horror Movies
5491,s8313,Movie,The Founder,John Lee Hancock,United States,8/21/2020,2016,PG-13,115 min,Dramas
5492,s8314,Movie,The Free Man,Toa Fraser,New Zealand,10-01-2017,2016,TV-PG,84 min,"Documentaries, Sports Movies"
5493,s8315,Movie,The Frozen Ground,Scott Walker,United States,8/27/2020,2013,R,106 min,"Dramas, Thrillers"
5494,s8329,Movie,The Gospel of Mark,David Batty,United States,10/19/2018,2015,TV-14,123 min,"Dramas, Faith & Spirituality"
5496,s8319,Movie,The Gentleman Driver,Mario Mattei,United States,1/31/2019,2018,TV-MA,83 min,"Documentaries, Sports Movies"
5497,s8320,Movie,The Ghost Who Walks,Cody Stokes,United States,04-07-2020,2019,TV-MA,107 min,"Dramas, Independent Movies, Thrillers"
5498,s8321,Movie,The Girl with the Dragon Tattoo,David Fincher,United States,01-05-2021,2011,R,158 min,"Dramas, Thrillers"
5499,s8330,Movie,The Gospel of Matthew,David Batty,United States,10/19/2018,2014,TV-14,190 min,"Dramas, Faith & Spirituality"
5500,s8323,Movie,The Golem,"Doron Paz, Yoav Paz",Israel,6/26/2019,2018,TV-MA,95 min,"Horror Movies, Independent Movies, International Movies"
5501,s8324,Movie,The Good Catholic,Paul Shoulberg,United States,1/24/2018,2017,PG-13,97 min,"Comedies, Dramas, Romantic Movies"
5502,s8325,Movie,The Good Neighbor,Kasra Farahani,United States,12-05-2016,2016,TV-MA,97 min,"Dramas, Independent Movies, Thrillers"
5504,s8327,Movie,The Gospel of John,David Batty,United Kingdom,10/20/2018,2014,TV-14,161 min,"Dramas, Faith & Spirituality"
5505,s8328,Movie,The Gospel of Luke,David Batty,United States,10/19/2018,2015,TV-14,205 min,"Dramas, Faith & Spirituality"
5508,s8336,Movie,The Green Hornet,Michel Gondry,United States,4/18/2020,2011,PG-13,119 min,"Action & Adventure, Comedies"
5509,s8338,Movie,The Hatred,Michael G. Kehoe,United States,12-11-2017,2017,R,94 min,Horror Movies
5511,s8340,Movie,The Healer,Paco Arango,Spain,06-01-2020,2017,TV-14,108 min,"Children & Family Movies, Dramas, Faith & Spirituality"
5512,s8341,Movie,The Heat: A Kitchen (R)evolution,Maya Gallus,Canada,05-07-2019,2018,TV-MA,71 min,Documentaries
5513,s8342,Movie,The Help,Tate Taylor,United States,06-01-2020,2011,PG-13,147 min,Dramas
5514,s8343,Movie,The Heretics,Chad Archibald,Canada,09-04-2019,2017,TV-MA,88 min,Horror Movies
5515,s8344,Movie,The Heroes of Evil,Zoe Berriatúa,Spain,06-01-2016,2015,TV-MA,99 min,"Dramas, International Movies"
5516,s8345,Movie,The Heyday of the Insensitive Bastards,"Mark Columbus, Lauren Hoekstra, Sarah Kruchowski, Ryan Moody, Simon Savelyev, Vanita Shastry, Shadae Lamar Smith, Jeremy David White",United States,2/26/2018,2017,TV-MA,96 min,"Dramas, Independent Movies"
5517,s8346,Movie,The Hollow Point,Gonzalo López-Gallego,United States,3/16/2017,2016,R,97 min,Action & Adventure
5519,s8349,Movie,The House on Coco Road,Damani Baker,United States,6/30/2017,2016,TV-14,79 min,Documentaries
5520,s8351,Movie,The Human Factor: The Untold Story of the Bombay Film Orchestras,Rudradeep Bhattacharjee,India,04-01-2017,2013,TV-PG,53 min,"Documentaries, International Movies, Music & Musicals"
5521,s8352,Movie,The Humanity Bureau,Rob W. King,Canada,12/18/2018,2017,R,94 min,"Action & Adventure, Sci-Fi & Fantasy"
5522,s8353,Movie,The Hundred-Foot Journey,Lasse Hallström,United States,1/31/2019,2014,PG,123 min,"Comedies, Dramas"
5523,s8355,Movie,The Hurricane Heist,Rob Cohen,United Kingdom,9/26/2018,2018,PG-13,103 min,Action & Adventure
5524,s8356,Movie,The Hurt Business,Vlad Yudin,United States,02-01-2017,2016,PG-13,111 min,"Documentaries, Sports Movies"
5526,s8359,Movie,The Incident,Isaac Ezban,Mexico,6/19/2017,2014,TV-MA,100 min,"International Movies, Sci-Fi & Fantasy, Thrillers"
5527,s8360,Movie,The Incredible Story of the Giant Pear,"Philip Einstein Lipski, Jørgen Lerdam, Amalie Næsby Fick",Denmark,03-01-2019,2018,TV-G,75 min,Children & Family Movies
5528,s8361,Movie,The Incredibles 2,Brad Bird,United States,1/30/2019,2018,PG,118 min,"Children & Family Movies, Comedies"
5531,s8364,Movie,The Intent,"Femi Oyeniran, Kalvadour Peterson",United Kingdom,5/15/2017,2016,TV-MA,99 min,"Dramas, International Movies, Thrillers"
5532,s8365,Movie,The Intent 2: The Come Up,"Femi Oyeniran, Nicky Slimting Walker",United Kingdom,2/21/2019,2018,TV-MA,103 min,"Dramas, International Movies"
5534,s8368,Movie,The Invitation,Karyn Kusama,United States,07-08-2016,2015,TV-MA,100 min,"Horror Movies, Independent Movies, Thrillers"
5535,s8370,Movie,The Iron Lady,Phyllida Lloyd,United Kingdom,07-07-2019,2011,PG-13,105 min,"Dramas, International Movies"
5536,s8371,Movie,The Jack King Affair,"Benjamin Cohen, Nicolas Cotto",France,01-02-2018,2015,TV-14,52 min,"Documentaries, International Movies"
5538,s8375,Movie,The Jungle School,Riri Riza,Indonesia,10/30/2018,2013,TV-PG,90 min,"Dramas, International Movies"
5539,s8376,Movie,The Keeping Hours,Karen Moncrieff,United States,09-01-2018,2017,PG-13,95 min,"Dramas, Thrillers"
5540,s8378,Movie,The King's Speech,Tom Hooper,United Kingdom,06-02-2018,2010,R,118 min,"Dramas, International Movies"
5542,s8382,Movie,The Lamb,Timothy Reckart,United States,06-04-2018,2017,PG,86 min,"Children & Family Movies, Faith & Spirituality"
5543,s8383,Movie,The Land of the Enlightened,Pieter-Jan De Pue,Belgium,01-01-2017,2016,TV-MA,84 min,"Documentaries, International Movies"
5545,s8385,Movie,The Last Exorcism,Daniel Stamm,France,09-01-2019,2010,PG-13,88 min,"Horror Movies, Independent Movies, Thrillers"
5546,s8386,Movie,The Last Face,Sean Penn,United States,1/13/2020,2016,R,131 min,Dramas
5547,s8387,Movie,The Last Hangover,Rodrigo Van Der Put,Brazil,12/21/2018,2018,TV-MA,44 min,"Comedies, International Movies"
5548,s8388,Movie,The Last Man on the Moon,Mark Craig,United Kingdom,5/26/2016,2014,TV-PG,96 min,Documentaries
5549,s8389,Movie,The Last Resort,"Dennis Scholl, Kareem Tabsch",United States,4/21/2019,2018,TV-14,70 min,Documentaries
5550,s8390,Movie,The Last Whistle,Rob Smat,United States,10/26/2019,2019,PG,88 min,"Dramas, Sports Movies"
5551,s8391,Movie,The Legend of 420,Peter Spirer,United States,12-01-2017,2017,TV-MA,87 min,Documentaries
5552,s8392,Movie,The Legend of Michael Mishra,Manish Jha,India,04-01-2019,2016,TV-14,118 min,"Comedies, Dramas, International Movies"
5553,s8394,Movie,The Little Hours,Jeff Baena,Canada,12/23/2018,2017,R,89 min,"Comedies, Independent Movies"
5554,s8395,Movie,The Little Mermaid,"Blake Harris, Chris Bouchard",United States,12-01-2018,2018,PG,85 min,"Children & Family Movies, Dramas"
5555,s8396,Movie,The Little Prince,Mark Osborne,France,11-06-2020,2015,PG,107 min,Children & Family Movies
5557,s8399,Movie,The Lobster,Yorgos Lanthimos,Ireland,12-02-2018,2015,R,119 min,"Comedies, International Movies, Romantic Movies"
5558,s8400,Movie,The Lodgers,Brian O'Malley,Ireland,8/23/2018,2017,R,93 min,"Horror Movies, International Movies"
5559,s8401,Movie,The Long Goodbye: The Kara Tippetts Story,Jay Lyons,United States,6/23/2019,2019,TV-PG,87 min,"Documentaries, Faith & Spirituality"
5562,s8404,Movie,The Look of Silence,Joshua Oppenheimer,Denmark,2/26/2016,2014,PG-13,103 min,"Documentaries, International Movies"
5566,s8408,Movie,The Lovers and the Despot,"Robert Cannan, Ross Adam",United Kingdom,2/23/2017,2016,TV-14,98 min,"Documentaries, International Movies"
5569,s8411,Movie,The Magic Pill,Robert Tate,United States,4/24/2018,2017,TV-PG,90 min,Documentaries
5575,s8418,Movie,The Mayo Clinic,"Ken Burns, Christopher Loren Ewers, Erik Ewers",United States,4/19/2019,2018,TV-14,116 min,Documentaries
5576,s8419,Movie,The Mayor,Park In-je,South Korea,9/30/2017,2017,TV-MA,130 min,"Dramas, International Movies"
5579,s8426,Movie,The Model,Mads Matthiesen,Denmark,12-06-2016,2016,TV-MA,104 min,"Dramas, Independent Movies, International Movies"
5580,s8427,Movie,The Monster,Bryan Bertino,United States,01-09-2019,2016,R,91 min,"Horror Movies, Independent Movies"
5581,s8703,Movie,Waterschool,Tiffanie Hsu,United States,7/25/2018,2018,TV-G,68 min,Documentaries
5582,s8428,Movie,The Monster of Mangatiti,John Banas,New Zealand,12/15/2015,2015,TV-MA,70 min,Dramas
5584,s8431,Movie,The Muppets,James Bobin,United States,09-01-2020,2011,PG,104 min,"Children & Family Movies, Comedies"
5585,s8433,Movie,The Music of Silence,Michael Radford,Italy,07-01-2018,2017,TV-PG,115 min,"Dramas, International Movies, Music & Musicals"
5589,s8439,Movie,The New Romantic,Carly Stone,Canada,4/15/2019,2018,TV-MA,82 min,"Comedies, Independent Movies, Romantic Movies"
5590,s8441,Movie,The NSU-Complex,"Stefan Aust, Dirk Laabs",Germany,12/28/2016,2016,TV-14,90 min,"Documentaries, International Movies"
5591,s8442,Movie,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston",United States,5/28/2019,2018,PG,99 min,Children & Family Movies
5592,s8444,Movie,The One I Love,Charlie McDowell,United States,5/30/2019,2014,R,91 min,"Comedies, Dramas, Independent Movies"
5594,s8446,Movie,The Other Guys,Adam McKay,United States,02-01-2020,2010,PG-13,108 min,"Action & Adventure, Comedies"
5596,s8448,Movie,The Pass,Ben A. Williams,United Kingdom,01-01-2019,2016,NR,87 min,"Dramas, Independent Movies, LGBTQ Movies"
5599,s8452,Movie,The Perks of Being a Wallflower,Stephen Chbosky,United States,04-01-2020,2012,PG-13,103 min,"Comedies, Dramas"
5601,s8454,Movie,The Physician,Philipp Stölzl,Germany,7/15/2015,2013,R,155 min,"Action & Adventure, Dramas, International Movies"
5603,s8456,Movie,The Pirate Fairy,Peggy Holmes,United States,6/15/2014,2014,G,78 min,Children & Family Movies
5604,s8457,Movie,The Pirates of Somalia,Bryan Buckley,Somalia,03-01-2018,2017,R,118 min,Dramas
5605,s8458,Movie,The Pirates! Band of Misfits,"Peter Lord, Jeff Newitt",United Kingdom,10-01-2020,2012,PG,88 min,"Children & Family Movies, Comedies"
5606,s8459,Movie,The Place Beyond the Pines,Derek Cianfrance,United States,5/16/2017,2012,R,140 min,"Dramas, Independent Movies"
5607,s8460,Movie,The Plan,Keerthi,India,03-01-2018,2015,TV-MA,124 min,"Dramas, International Movies, Thrillers"
5608,s8461,Movie,The Player,Ahmad El-Badri,Egypt,6/20/2019,2012,TV-MA,110 min,"Comedies, International Movies"
5610,s8463,Movie,The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,"Randall Lobb, Robert McCallum",Canada,8/24/2018,2017,TV-14,96 min,Documentaries
5612,s8465,Movie,The Prince,Brian A. Miller,United States,2/22/2019,2014,R,91 min,Action & Adventure
5615,s8468,Movie,The Prison,Na Hyeon,South Korea,11/18/2017,2017,TV-MA,125 min,"Action & Adventure, Dramas, International Movies"
5616,s8469,Movie,The Pursuit,John Papola,United States,08-07-2019,2019,TV-14,76 min,Documentaries
5618,s8471,Movie,The Push,"Grant Korgan, Brian Niles",United States,06-07-2019,2018,TV-MA,90 min,"Documentaries, Sports Movies"
5619,s8482,Movie,The Republic of Imbaba,Ahmed Al-Badry,Egypt,06-06-2019,2015,TV-14,90 min,"Dramas, International Movies"
5622,s8476,Movie,The Rat Race,Miriam Chandy Menacherry,India,01-01-2017,2010,TV-PG,52 min,"Documentaries, International Movies"
5623,s8478,Movie,The Real Miyagi,Kevin Derek,United States,6/16/2017,2015,TV-PG,81 min,"Documentaries, Sports Movies"
5624,s8479,Movie,The Rebound,Shaina Allen,United States,2/28/2019,2016,TV-MA,77 min,"Documentaries, Sports Movies"
5625,s8480,Movie,The Redeemed and the Dominant: Fittest on Earth,"Heber Cannon, Mariah Moore, Marston Sawyers",United States,07-01-2018,2017,TV-14,120 min,"Documentaries, Sports Movies"
5626,s8481,Movie,The Rehearsal,Alison MacLean,New Zealand,01-01-2018,2016,TV-MA,102 min,"Dramas, Independent Movies, International Movies"
5627,s8484,Movie,The Rezort,Steve Barker,United Kingdom,1/16/2017,2016,TV-MA,90 min,"Horror Movies, International Movies"
5628,s8485,Movie,The Rift: The Dark Side of the Moon,Dejan Zečević,Serbia,2/26/2018,2016,TV-MA,92 min,"Horror Movies, Independent Movies, Sci-Fi & Fantasy"
5629,s8486,Movie,The Right One,Hadi El Bagoury,Egypt,6/13/2019,2011,TV-14,93 min,"Dramas, International Movies, Romantic Movies"
5631,s8488,Movie,The Riot Club,Lone Scherfig,United Kingdom,3/16/2017,2014,R,107 min,"Dramas, International Movies"
5632,s8489,Movie,The River Thief,N.D. Wilson,United States,1/14/2017,2016,NR,87 min,"Dramas, Independent Movies"
5634,s8492,Movie,The Rolling Stones: Olé Olé Olé! A Trip Across Latin America,Paul Dugdale,United Kingdom,3/22/2019,2016,TV-MA,101 min,"Documentaries, International Movies, Music & Musicals"
5635,s8493,Movie,The Roommate,Christian E. Christiansen,United States,04-01-2020,2011,PG-13,91 min,Thrillers
5636,s8494,Movie,The Rover,David Michôd,Australia,7/19/2018,2014,R,103 min,"International Movies, Thrillers"
5637,s8495,Movie,THE RUM DIARY,Bruce Robinson,United States,12-06-2019,2011,R,120 min,"Comedies, Dramas"
5638,s8496,Movie,The Runner,Austin Stark,United States,09-08-2017,2015,R,90 min,"Dramas, Independent Movies"
5639,s8497,Movie,The Salvation,Kristian Levring,Denmark,03-02-2017,2014,R,92 min,"Dramas, Independent Movies, International Movies"
5640,s8498,Movie,The Sapphires,Wayne Blair,Australia,4/26/2019,2012,PG-13,99 min,"Comedies, Dramas, Independent Movies"
5642,s8500,Movie,The Sea of Trees,Gus Van Sant,United States,11-08-2018,2015,PG-13,111 min,Dramas
5643,s8501,Movie,The Search for Life in Space,Stephen Amezdroz,United States,04-01-2018,2016,TV-G,32 min,Documentaries
5644,s8502,Movie,The Secret Life of Pets 2,Chris Renaud,United States,12/27/2019,2019,PG,86 min,"Children & Family Movies, Comedies"
5645,s8503,Movie,The Seven Five,Tiller Russell,United States,4/14/2017,2014,R,104 min,Documentaries
5646,s8505,Movie,The Shaukeens,Abhishek Sharma,India,03-01-2018,2014,TV-MA,123 min,"Comedies, International Movies, Music & Musicals"
5647,s8506,Movie,The Show,Giancarlo Esposito,United States,06-01-2020,2017,TV-MA,105 min,Dramas
5649,s8508,Movie,The Signal,"William Eubank, Will Eubank",United States,7/13/2018,2014,PG-13,97 min,"Sci-Fi & Fantasy, Thrillers"
5650,s8509,Movie,The Similars,Isaac Ezban,Mexico,1/15/2017,2015,NR,90 min,"Horror Movies, Independent Movies, International Movies"
5651,s8510,Movie,The Sinking Of Van Der Wijck,Sunil Soraya,Indonesia,9/28/2018,2013,TV-14,163 min,"Dramas, International Movies, Romantic Movies"
5652,s8512,Movie,The Social Network,David Fincher,United States,04-01-2020,2010,PG-13,121 min,Dramas
5653,s8513,Movie,The Space Between Us,Peter Chelsom,United States,06-01-2019,2016,PG-13,120 min,"Action & Adventure, Romantic Movies, Sci-Fi & Fantasy"
5654,s8514,Movie,The Spectacular Now,James Ponsoldt,United States,7/15/2018,2013,R,95 min,"Dramas, Independent Movies, Romantic Movies"
5656,s8516,Movie,The Spy Next Door,Brian Levant,United States,11-01-2020,2010,PG,94 min,"Action & Adventure, Children & Family Movies, Comedies"
5657,s8517,Movie,The Spy Who Fell to Earth,Thomas Meadmore,United Kingdom,04-05-2019,2019,TV-MA,94 min,"Documentaries, International Movies"
5658,s8518,Movie,The Stanford Prison Experiment,Kyle Patrick Alvarez,United States,6/17/2017,2015,R,122 min,"Dramas, Independent Movies, Thrillers"
5659,s8521,Movie,The Student,Steven R. Monroe,United States,3/15/2019,2017,TV-14,90 min,Thrillers
5660,s8522,Movie,The Sunshine Makers,Cosmo Feilding-Mellen,United Kingdom,03-09-2017,2015,TV-MA,91 min,"Documentaries, International Movies"
5661,s8523,Movie,The Super,Stephan Rick,United States,2/16/2019,2017,R,89 min,Horror Movies
5662,s8525,Movie,The Surrounding Game,"Will Lockhart, Cole D. Pruitt",United States,8/30/2018,2018,TV-14,98 min,Documentaries
5666,s8529,Movie,The Thief and the Imbecile,"Mohammed El-Tahawy, Mohamed Mostafa",Egypt,06-06-2019,2013,TV-14,96 min,"Dramas, International Movies"
5667,s8530,Movie,The Tiger Hunter,Lena Khan,United States,04-09-2018,2016,TV-14,94 min,"Comedies, Dramas, Independent Movies"
5668,s8531,Movie,The Tigers of Scotland,Leanne Gater,United Kingdom,11-01-2018,2017,TV-G,58 min,Documentaries
5671,s8535,Movie,The Tribes of Palos Verdes,"Brendan Malloy, Emmett Malloy",United States,12-01-2019,2017,R,104 min,"Dramas, Independent Movies, Sports Movies"
5673,s8537,Movie,The Trip to Spain,Michael Winterbottom,United Kingdom,12-12-2017,2016,TV-MA,108 min,Comedies
5674,s8538,Movie,The Trust,"Ben Brewer, Alex Brewer",United States,04-01-2019,2015,R,91 min,Thrillers
5675,s8539,Movie,The Truth About Alcohol,David Briggs,United Kingdom,08-01-2017,2016,TV-14,58 min,"Documentaries, International Movies"
5678,s8544,Movie,The Unborn Child,Poj Arnon,Thailand,7/30/2018,2011,TV-MA,93 min,"Horror Movies, International Movies"
5679,s8547,Movie,The Unknown Girl,"Jean-Pierre Dardenne, Luc Dardenne",Belgium,12-12-2017,2016,TV-MA,106 min,"Dramas, International Movies"
5680,s8548,Movie,The Unknown Known,Errol Morris,United States,2/22/2019,2013,PG-13,103 min,Documentaries
